text,target
មានមេពូជនិងឈ្មោលបង្កាត់ពូជ,Neutral
ស្ដាប់មិនចូលទេ,Negative
ការទទួលបានគោលការណ៍វិនិយោគគឺជាចំណុចចាប់ផ្តើម,Neutral
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
បទចម្រៀងនេះមិនល្អ។,Negative
សម្ដេចតេជោបានប្រាប់កងកម្លាំងនិងពលរដ្ឋអំពីស្ថានការណ៍តានតឹងតាមព្រំដែន,Negative
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
Morokot មានប្រតិបត្តិការនៅក្រៅប្រទេស,Positive
លោកចាប់ផ្តើមចិញ្ចឹមកណ្ដុរនៅឆ្នាំ២០២១,Neutral
រោងមានទំហំ៤មែត្រគុណ៣៣មែត្រ,Neutral
ការបង្ក្រាបជួយការពារសុវត្ថិភាពសាធារណៈ,Positive
ស្ថានភាពសាច់ជ្រូកនៅតែអាចគ្រប់គ្រងបាន,Positive
verify.gov.kh ជួយកាត់បន្ថយការក្លែងបន្លំ,Positive
តម្លៃក្រូចពី២៥០០០ដល់៤០០០០រៀល,Neutral
លោកពូទីននិយាយ​ថាសេដ្ឋកិច្ច​រុស្ស៊ី​កំពុង​ធ្លាក់​ចុះ,Negative
Startup ចូលរួមវេទិកាឌីជីថល២០២៥,Neutral
លោកលីស៊ានឡុងបានឆ្លើយតបសំណួរ,Positive
លោកកេតម៉ៅបានបួងសួងសុវត្ថិភាពដល់កងទ័ព,Neutral
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative
ត្រកួនលក់បាន៤០០រៀលក្នុងមួយបាច់,Neutral
ក្រុម AOT ដឹកនាំដោយម៉ាឡេស៊ី,Neutral
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
ថ្នាក់ដឹកនាំនិងកីឡាករធ្វើដំណើរទៅថៃ,Neutral
ការចាក់សម្លេងមានបញ្ហា។,Negative
កម្មវិធីសម្តែងល្ខោនមិនគួរឱ្យចាប់អារម្មណ៍,Negative
ការប៉ះទង្គិចកើតឡើងរវាងកងទ័ពប្រទេសទាំងពីរ,Negative
លោកទទួលបានលិខិតថ្លែងអំណរគុណ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
បរិយាកាសនៅហាងនេះមិនល្អ។,Negative
សេវាកម្មជួសជុលទូរទស្សន៍នេះថ្លៃពេក ហើយជួសយូរទៀត,Negative
មិនពេញចិត្តទេតើអ្វីកើតឡើង?,Negative
អាជ្ញាធរបន្តតាមដានជនអនាថា,Neutral
ប្រតិបត្តិការប្រមូលធ្វើឡើងជាបន្តបន្ទាប់,Neutral
សេវាកម្មស្ប៉ាល្អណាស់ បុគ្គលិកមានជំនាញខ្ពស់,Positive
ទីផ្សារសាច់ជ្រូកនៅតែដំណើរការធម្មតា,Neutral
អ្នក​គាំទ្រ​ថាថៃ​គ្មាន​មេដាយ​អូឡាំពិក​ផ្នែក​ប្រដាល់​សកល,Negative
ក្រុមហ៊ុនជួយបង្កើតការងារ,Positive
ក្រុមហ៊ុនមានអាយុកាល៣០ឆ្នាំ,Neutral
លោកទិញកណ្ដុរពីអ្នកចិញ្ចឹមផ្សេងទៀត,Neutral
អ្នក​គាំទ្រ​ទូទាំង​តំបន់​មាន​ខឹង​សម្បារ​យ៉ាង​ខ្លាំង,Negative
តម្លៃទំនិញថ្លៃពេក,Negative
ប្រជាពលរដ្ឋខ្មែរនិយមប្រើខ្ទឹមជាគ្រឿងទេស,Positive
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive
ជនសង្ស័យស្នាក់នៅផ្ទះជួល,Neutral
គម្រោងវិនិយោគបង្កើតការងារជាង១២៩០០កន្លែង,Positive
កង​ទ័ព​កម្ពុជា​ប្រយុទ្ធ​តបត​នឹង​ទាហាន​ឈ្លាន​ពាន​ថៃ,Neutral
ឧបករណ៍អេឡិចត្រូនិកនេះប្រើការបានល្អ មានមុខងារច្រើន,Positive
ចេកយកទៅធ្វើនំ,Neutral
បុគ្គលិកធនាគារមិនសូវរួសរាយ ធ្វើការយឺតយ៉ាវ,Negative
ប្រតិបត្តិការធ្វើឡើងក្រោមការណែនាំអភិបាលខណ្ឌ,Neutral
ការផលិតវីដេអូនិងរូបភាពត្រូវបានអនុវត្ត,Neutral
ផលិតផលនេះគុណភាពទាប។,Negative
ខ្មែរយើងត្រូវតែខ្លាំងកុំអោយអ្នកជិតខាងយើងគេមើលងាយយើង,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ទិន្នផលម្រះអាស្រ័យលើអាកាសធាតុ,Neutral
កីឡាករទាំងនេះមកពីសមាគមនិងក្លិបចំនួន២៣,Neutral
ភាពយន្តនេះធុញទ្រាន់។,Negative
ការចំណាយលើការដាំដុះមានច្រើន,Neutral
ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ពោតមានរសជាតិឆ្ងាញ់,Positive
តម្លៃទំនិញថ្លៃពេក,Negative
ប្រតិភូកីឡាខេត្តជាប់ព្រំដែនមួយចំនួនបានភៀសសឹក,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
រដ្ឋាភិបាលត្រៀមវិធានការឆ្លើយតប,Neutral
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ប្រតិបត្តិការនគរបាលបង្ហាញពីប្រសិទ្ធភាព,Positive
គ្រឿងសង្ហារឹមនេះគុណភាពល្អ ប្រើប្រាស់បានយូរ,Positive
ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative
ភាពយន្តនេះធុញទ្រាន់។,Negative
អ្នកទិញនិយមយកផ្កាទៅតាំងលម្អ,Neutral
កម្ពុជាមានសក្ដានុពលផ្គត់ផ្គង់បរិមាណធំ,Positive
តែអ្នកកូពីដូចឆ្កួតទាំងmcទាំងអ្នកច្រៀង,Negative
ការបាញ់ប្រហារប៉ះពាល់សន្តិភាព,Negative
សមរភូមិកំពុងជួបការលំបាកដោយសារការឈ្លានពាន,Negative
ប្រាក់ចំណូលនៅតែអាចដោះស្រាយជីវភាពបាន,Positive
បេសកជនពិសេសចិនបានបញ្ចប់ទស្សនកិច្ចការទូត,Neutral
ទីផ្សារជីធម្មជាតិនៅក្នុងស្រុកមិនសូវសម្បូរ,Negative
គុណភាពទំនិញល្អណាស់។,Positive
គុណភាពទំនិញល្អណាស់។,Positive
អាជ្ញាធរប្រមូលជនអនាថាបាន៣២នាក់,Neutral
ងាប់នឹងគេបង្វែររឿងនឹងទៅខ្មែរ,Negative
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
សណ្ឋាគារនេះមានសេវាកម្មល្អណាស់ បុគ្គលិកមានវិជ្ជាជីវៈខ្ពស់,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
លោកចាប់ផ្តើមចិញ្ចឹមកណ្ដុរនៅឆ្នាំ២០២១,Neutral
អាចដាក់មេមាន់ចំនួន៣០០ក្បាល,Neutral
ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative
ទុនវិនិយោគសរុបមានចំនួន៦៦០លានដុល្លារ,Positive
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
មានការព្រួយបារម្ភពីការរំលោភច្បាប់អន្តរជាតិ,Negative
ពលរដ្ឋឃុំតាឡាតចូលព្រៃរកអនុផល,Neutral
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive
ប្រតិបត្តិការប្រមូលធ្វើឡើងជាបន្តបន្ទាប់,Neutral
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
គុណភាពទំនិញល្អណាស់។,Positive
រោងចក្រជាច្រើនបានចូលរួម,Neutral
កសិករនៅភូមិអូរខ្ជាយមានចម្ការក្រូច,Neutral
ខ្សែភាពយន្តថ្មីនេះធ្វើបានល្អណាស់ តួសម្ដែងពូកែៗ រឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍,Positive
សកម្មភាពមនុស្សធម៌បានជួយកុមារកម្ពុជារាប់ពាន់នាក់,Positive
ស្រូវថ្មីត្រូវបានដាល់អំបុកយកទៅចែក,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
តម្លៃជ្រូករស់ឡើងថ្លៃបន្តិចនៅពេលចុងក្រោយ,Neutral
ល្អមើលមែន Rate អោយ 9/10 តែអត់យល់ហេតុអីបានគេយំ? ខ្ញុំមើលអត់យំផង,Positive
ខ្ញុំអត់ពេញចិត្តរូប១សន្លឹកដែលថតនោះ,Negative
កូនខ្មែរដំបូងគេជាប់ឈ្មោះជាទូតនិស្សិតជាន់ខ្ពស់,Positive
សម្លៀកបំពាក់គុណភាពអន់ ថ្លៃហើយរែកលុយមួយខែ,Negative
ឥណ្ឌូណេស៊ីចាញ់​វគ្គ​ផ្តាច់​ព្រ័ត្រ៤ នាក់,Negative
បទថ្មីនេះមិនទាក់ចិត្ត។,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative
ការសម្រេចផ្តោតលើសុវត្ថិភាព,Positive
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
តម្លៃទីផ្សារជួយលើកទឹកចិត្តកសិករ,Positive
ជនស៊ីវិល១១នាក់រួមទាំងកុមារតូចៗបានស្លាប់,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ក្រុមហ៊ុន Ample ជាក្រុមហ៊ុននាំចេញ,Neutral
តម្លៃស្ពៃនៅផ្សារក្រុងភ្នំពេញខ្ពស់ជាង,Neutral
ផលិតផលនេះគុណភាពទាប។,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
បទថ្មីនេះមានទាស់។,Positive
អាជ្ញាធរបន្តតាមដានជនអនាថា,Neutral
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
ការចិញ្ចឹមកណ្ដុរមិនពិបាក,Positive
ប្រជាពលរដ្ឋបារម្ភពីសុវត្ថិភាពអត្តពលិក,Neutral
ឈ្មួញមកបញ្ជាទិញដល់កន្លែង,Positive
បេសកជនពិសេសចិនបានបញ្ចប់ទស្សនកិច្ចការទូត,Neutral
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
បទស្អីចឹងស្មានតែឡូយណាស់មែន,Negative
ជនភៀសខ្លួនមកពីប្រទេសទាំងពីរកំពុងកើនឡើង,Negative
មានចេកច្រើនប្រភេទលក់,Neutral
ទីផ្សារគោចុះថោកខ្លាំង,Negative
ប្រើផ្កាយរណបអាមេរិកឃ្លាំមើល,Neutral
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
ការផលិតវីដេអូនិងរូបភាពត្រូវបានអនុវត្ត,Neutral
ការប្រើអាវុធប៉ះពាល់សន្តិសុខសង្គម,Negative
ការដឹកជញ្ជូនមានការលំបាក,Negative
ពិធីបើកធ្វើឡើងនៅថ្ងៃទី៩ខែធ្នូ,Neutral
គ្រួសារអ្នកស្រីពុតសុជារស់នៅភូមិត្រពាំងសង្កែឃុំស្រឡប់ស្រុកត្បូងឃ្មុំខេត្តត្បូងឃ្មុំ,Neutral
គ្រាន់ថាគេល្អជាងបងហ៎? ម៉េចបានទឹកភ្នែកដោយសារគេបែបនឹង,Negative
ការចំណាយលើការដាំដុះមានច្រើន,Neutral
រសជាតិក្រូចពិតជាឆ្ងាញ់,Positive
កសិផលនាំចូលអាចមានសារធាតុគីមី,Negative
អ្នក​គាំទ្រ​ហ្វីលីពីន​បញ្ចេញ​មតិ​មិន​ពេញ​ចិត្ត,Negative
ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative
ថ្នាល verify របស់កម្ពុជាត្រូវបានហ្វីលីពីនយកទៅប្រើលើអត្តសញ្ញាណឌីជីថល,Positive
គុណភាពទំនិញល្អណាស់។,Positive
ភាពយន្តនេះធុញទ្រាន់។,Negative
រវល់ខួបកំណើតកូនអត់បានទៅស្ដាយណាស់,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
វិទ្យុនេះស្តាប់មិនសូវច្បាស់ មានសំឡេងរំខាន,Negative
កងទ័ពកម្ពុជាប្រើសិទ្ធិស្វ័យការពារ,Neutral
តារាងតម្លៃ ARDB បង្ហាញតម្លៃខុសគ្នា,Neutral
ត្រកួនលក់បាន៤០០រៀលក្នុងមួយបាច់,Neutral
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
សន្តិភាពជាគ្រឹះនៃការរីកចម្រើន,Positive
លោកពូទីនសម្ភាស​ជាមួយ BBC,Neutral
កសិកររកចំណូលបាន៣៥ម៉ឺនរៀលក្នុងមួយថ្ងៃ,Positive
អាជីវករលក់ចេកយូរឆ្នាំ,Neutral
មួយឆ្នាំអាចដាំបន្លែបាន៣លើក,Positive
មានការបារម្ភពីហានិភ័យសុវត្ថិភាព,Negative
ស្រូវថ្មីត្រូវបានដាល់អំបុកយកទៅចែក,Positive
កង​ទ័ព​កម្ពុជា​ប្រយុទ្ធ​តបត​នឹង​ទាហាន​ឈ្លាន​ពាន​ថៃ,Neutral
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
មនុស្ស១៥នាក់​រង​របួស​នៅ Odesa,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
អាវុធខ្លីត្រូវបានប្រើប្រាស់ដោយខុសច្បាប់,Negative
ការបរិភោគសាច់ជ្រូកនៅតែបន្ត,Neutral
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
លោកពូទីនសម្ភាស​ជាមួយ BBC,Neutral
អ្នកចម្ការត្រូវដាក់ជីគីមីដើម្បីលក់បាន,Neutral
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive
ទិញមួយផ្លូនមានថែមក្រូច,Positive
ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative
កសិករបន្តដាំដំណាំផ្សេងៗវិលជុំ,Positive
គម្រោងស្ថិតនៅខេត្តក្រចេះមណ្ឌលគិរីនិងរតនគិរី,Neutral
អាចដាក់មេមាន់ចំនួន៣០០ក្បាល,Neutral
តារាងតម្លៃ ARDB បង្ហាញតម្លៃខុសគ្នា,Neutral
ផ្ទៃដីផលិតអំបិលមានជាង៣៩០០ហិកតា,Neutral
កម្មវិធីសម្តែងសៀកនេះគួរឱ្យទាក់ទាញ,Positive
តែអ្នកកូពីដូចឆ្កួតទាំងmcទាំងអ្នកច្រៀង,Negative
អាជីវករលក់ចេកយូរឆ្នាំ,Neutral
សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
សម្ដេចលើកទឹកចិត្តឱ្យវេចខ្ចប់តូចៗ,Neutral
សមត្ថកិច្ចឆែកឆេផ្ទះជួល,Neutral
ប្រើវត្ថុធាតុដើមក្នុងស្រុកសម្រាប់ចំណីមាន់,Positive
របាយការណ៍នឹងបង្ហាញក្នុងកិច្ចប្រជុំអាស៊ាន,Neutral
ហាងកាហ្វេមិនត្រូវបានចាត់ជា Startup,Neutral
ចម្ការដូងផ្គត់ផ្គង់តែទីផ្សារក្នុងស្រុក,Neutral
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
ផ្លូវនេះស្ថិតនៅក្នុងភូមិត្រពាំងព្រីង,Neutral
ផលិតផលមធ្យមៗគ្មានអ្វីពិសេស,Neutral
ផលិតផលមិនទាន់គុណភាព,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
កូនមាន់ត្រូវចាក់វ៉ាក់សាំងតាមអាយុ,Neutral
ម៉ាស៊ីនត្រជាក់នេះមិនសូវត្រជាក់ ប្រើអគ្គិសនីច្រើន,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
លោកត្រាំចង់ធ្វើការសន្ទនាតាមទូរស័ព្ទ,Neutral
ក្រុមហ៊ុនអាចទទួលបានអាជ្ញាបណ្ណឆាប់រហ័ស,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ការលើកស្ទួយផលិតផលជាតិ,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive
ការវេចខ្ចប់១ឬ២គីឡូមានភាពងាយស្រួល,Neutral
ស្ពៃលក់បាន២០០០រៀលក្នុង១គីឡូ,Neutral
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive
តម្លៃស្ពៃនៅផ្សារក្រុងភ្នំពេញខ្ពស់ជាង,Neutral
ការនាំចេញទៅហ្ស៊កដានីជាលើកដំបូង,Positive
សេវាកម្មបញ្ជាទិញអនឡាញមានបញ្ហាច្រើន ប្រព័ន្ធដំណើរការមិនល្អ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
សូមខំមិនរឿងអ្នកបើកបរម្សិលមិញពីសៀមរាបមកភ្នំពេញម៉ោង3កន្លះរសៀលអ្នកបើកបរលឿនហួសហេតុឈ្លើយឈប់ចូលបត់ជើង ម៉ាននាទីហូបបាយម៉ាននាទីក៏មិនប្រាប់បើកលឿនខ្លាំងដល់ថ្នាក់ខ្ញុំអង្គុយនៅខាងមុខចង់ក្អួតម៉ានដង,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
ឱកាសការងារស្ថិតក្នុងវិស័យឧស្សាហកម្ម,Neutral
សមាគម TAFTAC បានចូលរួមសកម្មភាពជាច្រើន,Neutral
មានសំបកគ្រាប់បាញ់ហើយ៣៥គ្រាប់,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
មានការបារម្ភពីហានិភ័យសុវត្ថិភាព,Negative
កសិករបន្តដាំដំណាំផ្សេងៗវិលជុំ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
ក្រសួងបានជួយបំពេញតម្រូវការកម្លាំងពលកម្ម,Positive
ស្ថានការណ៍នៅតំបន់ព្រំដែនមានភាពតានតឹង,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
កៅអីការិយាល័យថ្មីនេះអង្គុយស្រួល ធ្វើពីឈើល្អ,Positive
តម្លៃចេកបច្ចុប្បន្នមិនខ្ពស់,Neutral
លោកបានរៀនបទពិសោធន៍ចិញ្ចឹមកណ្ដុរពីថៃ,Neutral
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
អគ្គិភ័យបណ្ដាលមកពីឆ្លងចរន្តអគ្គិសនី,Neutral
ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive
ស្រុករុក្ខគិរីស្ថិតនៅខេត្តបាត់ដំបង,Neutral
ល្អមើលមែន Rate អោយ 9/10 តែអត់យល់ហេតុអីបានគេយំ? ខ្ញុំមើលអត់យំផង,Positive
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
តម្លៃសាច់ជ្រូកនៅទីផ្សារឡើងដល់២ម៉ឺនរៀល,Neutral
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ពោតដាក់គ្រាប់មិនបានពេញល្អ,Negative
ការសន្ទនាជាជម្រើសល្អ,Positive
តម្លៃអំបិលឆ្នាំមុនខ្ពស់ជាង,Negative
រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive
បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive
ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive
កូនមាន់ត្រូវចាក់វ៉ាក់សាំងតាមអាយុ,Neutral
រំពឹងមានការបញ្ជាទិញបន្តនៅឆ្នាំ២០២៦,Positive
សាកលវិទ្យាល័យជំរុញគំនិត Startup មានកម្មវិធីភ្ញាស់ Startup ថ្មីមានកម្មវិធីពន្លឿនអាជីវកម្ម,Positive
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
ព្រៃត្រូវបានកាប់រានបាត់ធនធានធម្មជាតិ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ការដឹកជញ្ជូនយឺត។,Negative
ខ្ញុំស្រលាញ់ផលិតផលនេះណាស់,Positive
អំពើប្លន់មិនបានប្រើអាវុធ,Positive
ព្រៃត្រូវបានកាប់រានបាត់ធនធានធម្មជាតិ,Negative
របាយការណ៍មានលក្ខណៈសត្យានុម័ត,Positive
ផលិតផលមិនទាន់គុណភាព,Positive
លោកគីមជុងអ៊ុនត្រួតពិនិត្យការដ្ឋានសាងសង់នាវាមុជទឹក,Neutral
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
កសិករចិញ្ចឹមគោលក់មិនបានផលល្អ,Negative
ហាងកាហ្វេមិនត្រូវបានចាត់ជា Startup,Neutral
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
Startup ស្វែងរកអ្នកវិនិយោគ,Neutral
ពលរដ្ឋបេះផ្លែគុយនិងរើសផ្លែសំរង,Neutral
ក្រូចត្រូវបានផ្ញើទៅខេត្តផ្សេង,Neutral
លោក​ច្រាន​ចោល​ការ​អះអាង​ពី​ការ​វាយ​ប្រហារ​អឺរ៉ុប,Neutral
បទសែកមន្តហ្នឹងអ្នកណាជាអ្នកនិពន្ធ? ហើយប្រកាសថាខ្លួនឯងជាម្ចាស់កម្មសិទ្ធថែមទៀតផង ប្រាកដអត់លោក?,Negative
គម្រោងវិនិយោគនឹងចាប់ផ្តើមនៅដើមឆ្នាំ២០២៦,Neutral
សហគ្រាសង៉ូវហេងដាក់ផែនការពង្រីកផលិត,Positive
លិខិតផ្លូវការត្រូវបានដាក់ជូន,Neutral
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ខ្ញុំចូរចិត្តពីនឹងណាស់,Positive
ការលក់ដូរបន្តរៀងរាល់ថ្ងៃ,Neutral
អាចរកចំណូលបានប្រមាណ១០លានរៀល,Positive
ជំនាញជួយផ្គត់ផ្គង់ជីវភាពអនាគត,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ក្រុមហ៊ុន Ample ជាក្រុមហ៊ុននាំចេញ,Neutral
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មជួសជុលផ្ទះមិនល្អ ជាងធ្វើការមិនស្អាត,Negative
ស្ថានការណ៍ត្រូវបានតាមដានជិតស្និទ្ធ,Neutral
ផលិតផលមិនទាន់គុណភាព,Positive
ផលិតផលមិនទាន់គុណភាព,Positive
កម្មវិធីតន្ត្រីមិនសូវពិរោះ,Negative
សហគមន៍កសិករនៅស្ទឹងត្រែងដាំពោត,Neutral
កម្មវិធីសម្តែងសៀកនេះគួរឱ្យទាក់ទាញ,Positive
ថាគេតាមដានវាតែដឹងពីគេគ្រប់រឿងម៉ង ម៉ាអាឈ្មោល,Negative
ការវេចខ្ចប់១ឬ២គីឡូមានភាពងាយស្រួល,Neutral
ការដឹកជញ្ជូនយឺត។,Negative
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
សម្ដេចបានលុបចោលកម្មវិធីការងារផ្សេងៗ,Neutral
ផលិតផលនេះគុណភាពទាប។,Negative
ការប្រកួតចម្រៀងនេះមិនយុត្តិធម៌ លម្អៀង,Negative
កសិករខាតដើមទុនលើការទិញប្រេងបូមទឹក,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ស្រកីដូងទុំមានច្រើនតែនៅផ្សារមួយចំនួន,Neutral
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
កសិករចាប់ផ្តើមប្រមូលផលម្រះនៅដើមឆ្នាំ២០២៥,Neutral
អាជ្ញាធរស្រុកត្រាំកក់បានបើកការដ្ឋានសាងសង់ផ្លូវបេតុងមួយខ្សែ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
កម្ពុជាអំពាវនាវឱ្យមានបទឈប់បាញ់,Positive
ផ្ទៃដីផលិតអំបិលមានជាង៣៩០០ហិកតា,Neutral
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
ឥណ្ឌូណេស៊ីរឹតបន្តឹងការនាំចូលសម្លៀកបំពាក់ប្រើរួច,Neutral
ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive
ផ្លូវនេះក៏ស្ថិតនៅក្នុងភូមិអង្គគគីរ,Neutral
ម៉ាស៊ីនត្រជាក់នេះមិនសូវត្រជាក់ ប្រើអគ្គិសនីច្រើន,Negative
បទចម្រៀងនេះមិនល្អ។,Negative
ម្ចាស់ស្រែមានអំបិលស្តុកជាង២០០០តោន,Neutral
verify ត្រូវបានប្រើក្នុងគ្រឹះស្ថានអប់រំ៣១,Neutral
លោកបានរៀនបទពិសោធន៍ចិញ្ចឹមកណ្ដុរពីថៃ,Neutral
ដំណើរទស្សនកិច្ចធ្វើឡើងចាប់ពីថ្ងៃទី១៨ដល់២៣ធ្នូ,Neutral
ការបំពានបទឈប់បាញ់អាចបង្កវិបត្តិ,Negative
លុបណាវ៉ាតត្រាចេញទៅបង,Negative
ការសម្តែងរបាំប្រពៃណីនេះល្អណាស់ សិល្បៈករមានទេពកោសល្យ,Positive
ទីផ្សារចេកនៅតែដំណើរការ,Neutral
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
